model,trait,n,r_mcsds_sd3,r_mcsds_llm,r_sd3_llm,diff_mcsds_sd3_minus_mcsds_llm,dependent_corr_test,williams_t,williams_df,williams_p,boot_diff_mean,boot_ci_low,boot_ci_high,boot_n
GPT-5,Machiavellianism,73,-0.48927549445479573,-0.03292992925437179,0.04675770479840058,-0.45634556520042396,Williams,-3.11251556010978,70,0.002685696764729577,-0.45551982461271157,-0.7517840408648644,-0.18186931667411968,2000
GPT-5,Narcissism,73,0.013908058902668063,0.08972679938542961,0.28834945890246966,-0.07581874048276155,Williams,-0.5337702643598307,70,0.5951914722646119,-0.07730255566564574,-0.3367130581218847,0.18854228356986683,2000
GPT-5,Psychopathy,73,-0.46769280388252943,-0.07665769943300779,0.4845406540238347,-0.3910351044495216,Williams,-3.7002057143761107,70,0.00042537475989615073,-0.38495727928473644,-0.593989825617878,-0.17504049085905968,2000
GPT-OSS-120B,Machiavellianism,72,-0.49420618006631106,-0.08026967585084266,-0.03772089696489315,-0.4139365042154684,Williams,-2.6838739822529587,69,0.009103466948674515,-0.4148364833077112,-0.7088406446508784,-0.1330054926078726,2000
GPT-OSS-120B,Narcissism,73,0.013908058902668063,0.2567185149984003,0.20689962290320735,-0.24281045609573226,Williams,-1.6662408254758505,70,0.1001345587395199,-0.24369038383955569,-0.5160394865778115,0.024871751205011942,2000
GPT-OSS-120B,Psychopathy,73,-0.46769280388252943,-0.005697184177592662,0.48314375987020575,-0.46199561970493674,Williams,-4.471513016539838,70,2.926259614124596e-05,-0.45592619848245763,-0.6647850870729589,-0.2488252876129631,2000
Grok-4,Machiavellianism,73,-0.48927549445479573,-0.05494695799500593,0.11164467840578884,-0.4343285364597898,Williams,-3.0747017830514665,70,0.0030037622883764,-0.43220474401653075,-0.7294666211334778,-0.1558148398739487,2000
Grok-4,Narcissism,73,0.013908058902668063,0.1175462469817478,0.23889309398193628,-0.10363818807907973,Williams,-0.7074292848190519,70,0.4816484043739303,-0.10714516036344102,-0.37208962522365585,0.15349887390489242,2000
Grok-4,Psychopathy,73,-0.46769280388252943,-0.06628299066269182,0.506747755603442,-0.4014098132198376,Williams,-3.910571543537439,70,0.00021053629877612953,-0.3923888824193168,-0.576245990353754,-0.20172102658250018,2000
LLaMA-3,Machiavellianism,73,-0.48927549445479573,-0.04800284351067544,0.04924634355264051,-0.44127265094412027,Williams,-3.011773143063489,70,0.0036119390318432145,-0.4376680022803321,-0.6994248231958675,-0.1866048287604016,2000
LLaMA-3,Narcissism,73,0.013908058902668063,0.034130530279739266,0.26958916533410826,-0.020222471377071203,Williams,-0.1400610324020853,70,0.8890140002911279,-0.021074232160489793,-0.2847236400314328,0.24517754382894966,2000
LLaMA-3,Psychopathy,73,-0.46769280388252943,0.14470660383338654,0.1474733424295603,-0.6123994077159159,Williams,-4.553355446205024,70,2.1706276740339224e-05,-0.6058632440375338,-0.8596523694931525,-0.3529802286048389,2000
MODEL_AVERAGE,Machiavellianism,73,-0.48927549445479573,-0.06072154156827683,0.034669366036969414,-0.4285539528865189,Williams,-2.899968923716265,70,0.004982475645465774,-0.4260841551122221,-0.7203605906104295,-0.15070778393882064,2000
MODEL_AVERAGE,Narcissism,73,0.013908058902668063,0.14820235990940153,0.2887490848139572,-0.13429430100673348,Williams,-0.9524156514506678,70,0.3441634178963483,-0.13626405877014894,-0.38965466737182025,0.1100740276964675,2000
MODEL_AVERAGE,Psychopathy,73,-0.46769280388252943,-0.02155600050722735,0.4894934072938839,-0.4461368033753021,Williams,-4.324145682612309,70,4.977868580794724e-05,-0.4367201639466301,-0.6367620800995368,-0.23775379235089758,2000
